fee_mode,config_path,run_root,seed,T,skip_step,block_time,mean_fee_after_skip,median_fee_after_skip,total_arb_swaps,arb_no_op_in_band,arb_swaps_rejected_profitability,arb_attempts,arb_execution_share,arb_no_op_share,dex_return_acf_lag1
static,abm_results/scenarios/section4_microstructure_model0_static.yml,abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000,10,13000,3000,5,0.00010000000000000002,0.0001,9651,3349,0,13000,0.7423846153846154,0.25761538461538463,-0.45761136483441206
toxicity,abm_results/scenarios/section4_microstructure_model0_toxicity.yml,abm_results/scenarios/section4_microstructure_diagnostics/runs/toxicity_seed10_T13000,10,13000,3000,5,0.002389772233744209,0.001621554009212919,6549,6451,0,13000,0.5037692307692307,0.49623076923076925,-0.023818627932038892
