block_time,fee_schedule,fee_schedule_label,cohort,cohort_label,n,mean,std,median_delta_lvr,median_delta_lvr_x1e3,p2_5,p25,p75,p97_5,source
3,static,Static,jiter,Jiter,3,-0.0475446365456867,0.0280779538174099,-0.0493406606684266,-49.3406606684266,-0.0794168055742346,-0.0651702106188519,-0.0308170745338915,-0.0141458470128098,/home/danieledinosse/repositories/ABM_Uni_v3/paper/tables/run_paper_figures_blocksize_sources/model2_static/lvr_vs_blocksize/static_flow_model2_static_runs50_B2to16_seed10_step1_6/dLVR_summary.csv
3,toxicity,Toxicity,active,Active LPs,499950,0.0483038680395591,0.2218233198230045,0.000254921225658,0.254921225658,-0.0350876454126321,-4.856925883700569e-08,0.0283102618735147,0.4282577121827506,/home/danieledinosse/repositories/ABM_Uni_v3/paper/tables/run_paper_figures_blocksize_sources/model2_tox/lvr_vs_blocksize/toxicity_flow_model2_tox_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
3,toxicity,Toxicity,passive,Passive LPs,499950,0.0019484568135079,0.0323465896336604,1.1036083884297e-05,0.011036083884297,-0.0020770683470285,-1.9274917661959993e-08,0.0015684882046236,0.018140147913082,/home/danieledinosse/repositories/ABM_Uni_v3/paper/tables/run_paper_figures_blocksize_sources/model2_tox/lvr_vs_blocksize/toxicity_flow_model2_tox_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
3,toxicity,Toxicity,jiter,Jiter,45394,0.0005424997906273,0.1947213381398159,0.0019162508738244,1.9162508738244,-0.2934150696812575,-0.0153259359866912,0.0227903310791952,0.2736639683197235,/home/danieledinosse/repositories/ABM_Uni_v3/paper/tables/run_paper_figures_blocksize_sources/model2_tox/lvr_vs_blocksize/toxicity_flow_model2_tox_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
3,volatility_cex,Volatility (CEX),active,Active LPs,499950,0.049153028975172,0.248619677288182,0.0004307778676846,0.43077786768459997,-0.0352761091763848,-7.088305409297392e-08,0.0264256750411103,0.4301122242524939,/home/danieledinosse/repositories/ABM_Uni_v3/paper/tables/run_paper_figures_blocksize_sources/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
3,volatility_cex,Volatility (CEX),passive,Passive LPs,499950,0.0020657914039994,0.0416521110873172,2.2199546969851334e-05,0.022199546969851335,-0.0023193564669719,-6.822612874657352e-08,0.0014506743562699,0.0184392729472494,/home/danieledinosse/repositories/ABM_Uni_v3/paper/tables/run_paper_figures_blocksize_sources/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
3,volatility_cex,Volatility (CEX),jiter,Jiter,21840,-0.0115125933770249,0.1517102344372813,-4.247978091650616e-05,-0.04247978091650616,-0.254508400347526,-0.0147028583576083,0.0091758532663461,0.1457186343721737,/home/danieledinosse/repositories/ABM_Uni_v3/paper/tables/run_paper_figures_blocksize_sources/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
3,volatility_dex,Volatility (DEX),active,Active LPs,499950,0.0484252519602493,0.2787756351129902,1.8931025458357453e-05,0.018931025458357453,-0.0435214853869888,-2.2357272300155278e-07,0.0207426089583946,0.45138099724631,/home/danieledinosse/repositories/ABM_Uni_v3/paper/tables/run_paper_figures_blocksize_sources/model2_vol_dex/lvr_vs_blocksize/volatility_dex_flow_model2_vol_dex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
3,volatility_dex,Volatility (DEX),passive,Passive LPs,499950,0.0020879418421986,0.0333535164193267,4.946632990006578e-07,0.0004946632990006578,-0.002895740272254,-3.0695659347657056e-07,0.0011987512667607,0.0212559472983345,/home/danieledinosse/repositories/ABM_Uni_v3/paper/tables/run_paper_figures_blocksize_sources/model2_vol_dex/lvr_vs_blocksize/volatility_dex_flow_model2_vol_dex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
3,volatility_dex,Volatility (DEX),jiter,Jiter,18675,-0.01379092947566,0.1412191522949341,-0.0005146017470281,-0.5146017470281,-0.2390259078887627,-0.0146130457581411,0.0062512905787069,0.1291217578295236,/home/danieledinosse/repositories/ABM_Uni_v3/paper/tables/run_paper_figures_blocksize_sources/model2_vol_dex/lvr_vs_blocksize/volatility_dex_flow_model2_vol_dex_runs50_B2to16_seed10_step1_2/dLVR_summary.csv
