fee_mode,block,cex_price,dex_price,band_low,band_high,fee
static,5260,1956.6549763127168,1956.0737894219546,1956.0737894219544,1956.8563754471022,0.0001
toxicity,5200,2091.617789987903,2083.468778829334,2080.8944401803296,2102.1483532847055,0.004968633584590844
toxicity,5201,2094.223878977717,2089.368750570205,2084.0607891323825,2099.202193240814,0.003513354500895409
toxicity,5202,2094.986360741099,2088.1467013727442,2088.8122822001264,2099.6494958661297,0.002484316792295422
toxicity,5203,2096.030993515567,2088.695778562379,2088.695778562379,2101.2958884381433,0.00290298434148869
toxicity,5204,2096.1060119547037,2093.996848722403,2089.682216964088,2102.399058628423,0.002929254552426428
toxicity,5205,2095.1079386911833,2093.996848722403,2091.55520094406,2100.666724631268,0.0020712957578422927
toxicity,5206,2095.5576199734633,2098.5838003286904,2091.830203437222,2098.390809901389,0.0014646272762132142
toxicity,5207,2095.0913907469,2098.240338391022,2093.1780423649443,2097.9399027458435,0.0010356478789211466
toxicity,5208,2095.1669388709097,2098.240338391022,2091.919009809158,2098.268582578738,0.0014143483429161603
toxicity,5209,2094.3395269906914,2097.629347899608,2092.707420466444,2097.629347899608,0.0010740183136107096
toxicity,5210,2094.4360719502024,2097.4448440741585,2091.0216409733084,2097.6626775961627,0.0014843743400825029
toxicity,5211,2094.379191673516,2096.846388931572,2092.0285256190723,2096.8463889315726,0.0010496111616916444
toxicity,5212,2094.0085859148594,2089.8165772764005,2092.2255307534047,2096.535069493904,0.0009284079858919737
toxicity,5213,2095.204542617563,2089.8165772764005,2089.128000994105,2098.900572774201,0.002230970852783778
toxicity,5214,2094.9163041661654,2090.6425729848447,2090.6425729848447,2099.7764668772456,0.0020775562895552838
toxicity,5215,2094.666800472574,2091.62959573566,2091.6295957356597,2098.208177207236,0.0014690541406413035
toxicity,5216,2094.0095070086136,2092.281678211831,2092.2816782118307,2097.0546416828056,0.001038778144777642
toxicity,5217,2095.0312624447306,2089.0568568318886,2092.2621741227945,2095.7582991628988,0.0007345270703206519
toxicity,5218,2092.754368116769,2089.0568568318886,2087.22669685606,2102.865010893184,0.003625646573942748
toxicity,5219,2092.622831150727,2088.4520280741544,2087.180415356275,2098.3432064852095,0.002563719278620691
toxicity,5220,2092.331179564887,2093.27984616802,2088.620413710198,2096.632918412571,0.0018128232869713745
toxicity,5221,2092.6892983057633,2093.27984616802,2089.440160657666,2095.2261985820314,0.0012818596393103458
toxicity,5222,2091.5344459882167,2093.27984616802,2090.5834020193793,2094.7973159134804,0.0009064116434856875
toxicity,5223,2092.333936944319,2093.085120101365,2089.984920700877,2093.085120101365,0.0006409298196551731
toxicity,5224,2090.2493489900608,2090.523473975281,2091.176561366929,2093.4919530789202,0.0004532058217428438
toxicity,5225,2090.6456311696543,2088.4018030666316,2089.3705603648827,2091.128507233468,0.0003204649098275866
toxicity,5226,2090.1285073723197,2091.3765886457036,2087.656547116782,2093.638994960728,0.0013298850635941194
toxicity,5227,2090.032265535411,2091.438792564841,2087.9542162455896,2092.3050626971185,0.0009403707466661048
toxicity,5228,2089.0578116172046,2086.9876316103782,2088.4336708221463,2091.6320838954184,0.0006649425317970598
toxicity,5229,2089.897971618218,2086.932824179608,2086.8685903028495,2091.249329525598,0.0009480515303650111
toxicity,5230,2090.2096690239546,2086.130267933872,2086.845729410944,2092.9546780666005,0.0013606203139817402
toxicity,5231,2091.3700838677223,2087.325901283068,2086.1777307425095,2094.249399798851,0.0018291564549867121
toxicity,5232,2091.1280522124616,2084.9730785290913,2088.1353171305827,2094.609861638274,0.001446876011456755
toxicity,5233,2091.246333037389,2085.4437774031717,2084.1870392783526,2098.0921809512674,0.003219599212519938
toxicity,5234,2089.844938392283,2085.5043702282705,2086.2767730467676,2096.2277306359533,0.0022766004358757167
toxicity,5235,2090.5327468015694,2088.2697754916917,2086.2720796253525,2093.4239158816436,0.0016097996062599692
toxicity,5236,2089.6903404925292,2076.389881069176,2087.94429849043,2093.124404041541,0.0011383002179378586
toxicity,5237,2089.0170943630446,2073.714804114251,2071.7455509939464,2107.7905619504054,0.008488154727892735
toxicity,5238,2089.479599554589,2073.877679441847,2076.2711202870596,2101.8413144125725,0.006002031767853607
toxicity,5239,2089.6876381583334,2075.8910457851002,2075.8910457851002,2103.1571024979385,0.006403969997009285
toxicity,5240,2090.4340459435743,2079.406261068573,2079.406261068573,2100.019850295021,0.0048205465160006695
toxicity,5241,2090.594387550385,2082.156822214198,2081.700860657638,2099.203868830369,0.004078107709933892
toxicity,5242,2090.9598878479524,2084.3573933832045,2084.357393383204,2096.850044590049,0.002883657616103397
toxicity,5243,2092.4995030024697,2087.980941136787,2085.6461930770884,2096.287120558382,0.0024415246706671156
toxicity,5244,2092.298872124158,2073.53665245645,2088.678105022644,2096.327892525169,0.0017264186510629698
toxicity,5245,2092.1685470653733,2073.53665245645,2067.5569439120923,2117.3368806997923,0.01172641865106297
toxicity,5246,2090.345889571461,2076.259522879233,2074.3825435445488,2110.1070499032726,0.00840207892959997
toxicity,5247,2090.6565616179396,2077.719023678174,2077.719023678174,2103.0494923769434,0.005941166987184748
toxicity,5248,2091.635044282032,2078.54487567534,2080.904345660029,2100.454481606546,0.004565133125432291
toxicity,5249,2091.118818643979,2077.9987921181832,2079.460222776398,2103.881146919698,0.00572130186672429
toxicity,5250,2091.4391397441436,2080.747596531908,2080.747596531908,2101.541734795383,0.004860148195217373
toxicity,5251,2091.836443316433,2077.846906530339,2083.2678387752057,2099.6424913972432,0.0038074137725252425
toxicity,5252,2092.9055277119833,2077.846906530339,2077.126511101032,2106.6505493048926,0.006932769342759467
toxicity,5253,2090.5235353607627,2079.5728582814636,2081.62776904208,2104.244386566322,0.005289104427518018
toxicity,5254,2091.0309064177727,2081.8554234708304,2082.496807918979,2098.5812008348066,0.003739961607101783
toxicity,5255,2091.709875659838,2089.7646684126835,2083.3000291782078,2098.790472018138,0.0035975303920946695
toxicity,5256,2092.336006973261,2086.414718848462,2086.18028628053,2097.2541216625,0.00254383813577484
toxicity,5257,2092.6874625601513,2087.484420123,2087.484420123,2097.1988695459845,0.0022189736221981202
toxicity,5258,2093.2049013739784,2089.4932210437682,2088.373860464404,2097.0099745371185,0.0019614800504796767
toxicity,5259,2092.9316533434467,2090.0926674706907,2090.0926674706907,2096.321769521489,0.001386975844856311
toxicity,5260,2093.2521210505947,2091.26863651285,2090.669964504471,2095.195788879649,0.0009807400252398383
