block,cex_price,dex_price,band_low,band_high,source_output_data
3029,2013.4825548921406,2019.4352962089706,2013.0798986467867,2013.8852916767974,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3030,2011.9344888232351,2013.8852916767976,2011.5321421601368,2012.3369159637139,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3031,2011.7659682189535,2012.3369159637139,2011.363655256606,2012.1683616519406,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3032,2012.545172766417,2011.6880586695017,2012.1427039787425,2012.947722055899,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3033,2011.9980063996684,2011.9103242675085,2011.595647034325,2012.4004462449327,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3034,2011.5914146953542,2011.9103242675085,2011.1891366402206,2011.9937732141452,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3035,2013.4945537736353,2010.8536283367052,2013.0918951287451,2013.8972929583085,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3036,2014.358048676095,2013.0918951287454,2013.9552173494926,2014.7609605770201,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3037,2014.849581221602,2015.1989516051165,2014.44665159832,2015.252591438868,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3038,2014.9978823649385,2014.553481208451,2014.5949230843935,2015.4009222453997,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3039,2015.1354503067844,2011.7805847463906,2014.7324635154023,2015.5385177035853,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3040,2012.3662732068378,2020.2955842739573,2011.9638401954976,2012.7687867128298,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3041,2013.1838297904817,2018.2856611263705,2012.7812332841743,2013.586506824143,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3042,2006.630716013765,2013.5865068241433,2006.2294299991638,2007.0320822935957,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3043,2006.187293318116,2006.9473901783078,2005.7860959791863,2006.5885709045383,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3044,2006.1979226767155,2008.6485833968106,2005.7967232121266,2006.599202389222,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3045,2006.9625871286069,2006.599202389222,2006.5612347464194,2007.3640197892987,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
3046,2007.0023019772173,2006.7994297040711,2006.6009416528543,2007.4037425816732,/home/danielemdn/Documents/repositories/ABM_Uni_v3/abm_results/scenarios/section4_microstructure_diagnostics/runs/static_seed10_T13000/output_data
