model,fee_mode,dex_share_pct_mean,dex_share_pct_se,passive_fee_value_mean,passive_fee_value_se,active_fee_value_mean,active_fee_value_se,total_fee_value_mean,total_fee_value_se,mean_fee_bps_mean,mean_fee_bps_se,mean_fee_note
Model0,static,35.49794862042637,0.30203334611583754,54.71059802263416,0.18850463899064707,,,54.71059802263416,0.18850463899064707,1.0,,fixed
Model0,toxicity,22.772398316328022,0.18558017560180579,531.9899079464851,4.062827029943662,,,531.9899079464851,4.062827029943662,14.476581539269347,0.08380204161295832,
Model0,volatility_dex,23.85451490148766,0.4238845649649839,325.1445478863511,11.956228277143623,,,325.1445478863511,11.956228277143623,7.252318162539431,0.16286884538171562,
Model0,volatility_cex,25.04711761266648,0.4551182469843054,247.47178381052277,0.5938529998963986,,,247.47178381052277,0.5938529998963986,5.334008417058809,0.02394519920188409,
Model1,static,39.10540054108922,0.15971253873353908,19.545572620215818,0.03274558031494834,208.98837508725438,2.921442944005264,228.5339477074702,2.888697363690312,1.0,,fixed
Model1,toxicity,26.109071265900198,0.5686324187415798,176.04194003524526,8.087284832337275,1348.0678695716863,84.12957473617803,1524.1098096069318,92.21685956851536,11.722174344617898,0.1507269397410223,
Model1,volatility_dex,27.873072017757895,0.6670587845420822,97.49341588033533,0.7469447117557664,570.806604583649,9.728209353431339,668.3000204639843,10.475154065187098,5.2193817495984405,0.13847983286551674,
Model1,volatility_cex,27.247010994274163,0.6055385509590394,94.16395089514471,5.232489535039463,950.9237211231874,10.96640173274102,1045.087672018332,16.198891267780596,5.3563646082213925,0.014406631209992055,
Model2,static,38.52632378300505,0.3885507698882046,20.625298741922087,1.8341430806820131,196.84527191694485,1.1224986889233861,217.47057065886693,0.7116443917586253,1.0,,fixed
Model2,toxicity,26.451018189149845,1.0388300008375788,103.04751102459605,4.696445591776552,1200.7677404087938,4.534684527258605,1303.8152514333897,9.231130119035242,11.006021057468423,0.06976926390000744,
Model2,volatility_dex,27.94401230560869,0.22537938782221933,66.54319432265459,4.105663869951687,495.61964812622523,1.8754160533556217,562.1628424488798,2.2302478165960338,4.401415677764048,0.12172923587307265,
Model2,volatility_cex,26.5288036720756,0.27031808905008115,82.41487262189688,0.2528011446169032,854.2357691585493,11.714858357152707,936.6506417804462,11.967659501769617,5.3097539112855765,0.024093558874105078,
