cohort,block_time,n,mean,std,median,p2_5,p25,p75,p97_5
jiter,9,122259,-0.00289380720467346,0.19398131658966394,0.0007171870954358725,-0.2821888316511016,-0.014968910026880264,0.01902317172906088,0.24608711096977356
active,10,499950,0.1474007727773712,0.5561692898966479,0.0084044754369395,-0.12180749923244324,-0.0007841585306645679,0.10785900902222556,1.2941206948363497
passive,10,499950,0.0040964040916036445,0.054103752075628515,0.0002324018215604795,-0.005269928103347258,-2.1611882249601277e-05,0.003413509613606607,0.03831939238423419
jiter,10,137961,-0.0021989199746536244,0.1831080631954207,0.0008027939060895051,-0.2876284626442782,-0.015641958413757838,0.020371846027339383,0.2521142746083409
active,11,499950,0.15990582814987886,0.6031264099457139,0.009920663705477305,-0.13468937522832722,-0.0011601812156319467,0.11851181759659882,1.4134531888094009
passive,11,499950,0.004393641083303001,0.053910437170857944,0.00027252837967918194,-0.006012214331145046,-3.228760534457121e-05,0.00371656906570326,0.04202394683276868
jiter,11,156575,-0.0015425693188343725,0.20050186350600266,0.0009582679181947126,-0.3036385938078062,-0.016254717724246907,0.02199286523861784,0.27431933664883457
active,12,499950,0.17418253447750637,0.6366995250651117,0.011570338379149791,-0.1465537721940808,-0.0015494166470085995,0.13130099005669227,1.5252293416970668
passive,12,499950,0.004835148775998413,0.06189547478727611,0.0003090346225599187,-0.006641867096732282,-4.242391808058012e-05,0.004101223793519254,0.046029994516171416
jiter,12,172871,-0.0010647678078956454,0.21253217215176554,0.0010765083735861936,-0.3179145446065127,-0.017123766815858435,0.023552732921993013,0.2887435192704224
active,13,499950,0.187991910662835,0.6732131066449344,0.013139171276842151,-0.15775169721343266,-0.001887700462848061,0.14467735352122776,1.6483017546155403
passive,13,499950,0.00514322890172449,0.06438281873709255,0.0003408410968947824,-0.007167093247926083,-5.143004661489558e-05,0.004398394350067844,0.04946064899434596
jiter,13,187637,0.001522466856847489,0.2281744095637815,0.0011852226950073408,-0.3231059955002436,-0.017742563083274376,0.02587378396282114,0.3096693622107797
active,14,499950,0.20139573134266542,0.7157297018885735,0.014535710541837395,-0.16734688595071484,-0.002350311048822107,0.15502353546115655,1.7678872948175
passive,14,499950,0.005543121181067587,0.06461102128372224,0.0003758785410735138,-0.007844061805456859,-6.251715291423553e-05,0.004723389543349453,0.05356760249123543
jiter,14,201480,0.001585324808786699,0.21706487996782273,0.0012615661217416784,-0.3442429310124495,-0.018947472158744552,0.027395766708453964,0.32806964415699996
active,15,499950,0.21280458875081115,0.7328821697104239,0.01639936976562806,-0.18092043628369261,-0.00271260041015136,0.16706237972137125,1.8651779313281125
passive,15,499950,0.005992856876675966,0.06685384613715191,0.0004255030560543274,-0.008932188033476729,-7.47922136614754e-05,0.005167850371799817,0.05854893185543702
jiter,15,217434,0.0012779127009728514,0.22726670839727411,0.0014665637765130532,-0.35514593481143336,-0.019724783322430307,0.029452378614690744,0.3395236767069916
active,16,499950,0.22576224114785284,0.780791756638023,0.01781180095785842,-0.19463228788418166,-0.0031002693023909327,0.17938195428853307,1.9853175842218593
passive,16,499950,0.006265391323376478,0.06853527544572799,0.0004494527383230853,-0.009520743587928834,-8.25170559477156e-05,0.0053736190545824875,0.061492863193913394
jiter,16,230014,0.0021519826419986077,0.23440115036948328,0.0015417239504496457,-0.3668653032188244,-0.020626886310412255,0.030976395078426658,0.3539150040685343
