block_time,fee_schedule,fee_schedule_label,cohort,cohort_label,n,mean,std,median_R,p2_5,p25,p75,p97_5,source
3,toxicity,Toxicity,passive,Passive LPs,4186707,0.6598580419904774,1.4222674578080896,0.9868981463554864,-1.9891985786322683,0.1665552061621726,1.2646196476937963,2.564802187969396,/mnt/external/scenarios/model2_tox/lvr_vs_blocksize/toxicity_flow_model2_tox_runs50_B2to16_seed10_step1_2/dLVR_over_dFees_summary.csv
3,toxicity,Toxicity,jiter,Jiter,566203,0.0788138587914185,1.2050991376493565,0.5822084780617056,-2.0158812434117857,-1.0250396264389685,1.0201905278902852,1.7715425620947292,/mnt/external/scenarios/model2_tox/lvr_vs_blocksize/toxicity_flow_model2_tox_runs50_B2to16_seed10_step1_2/dLVR_over_dFees_summary.csv
3,volatility_cex,Volatility (CEX),active,Active LPs,4370640,1.33510177334196,1335.8095075605834,1.1331901298831646,-2.753308521815039,0.0605459997214811,1.80265863611076,4.625134752129448,/mnt/external/scenarios/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_over_dFees_summary.csv
3,volatility_cex,Volatility (CEX),passive,Passive LPs,4373985,0.9266539386659224,2.0057799048005305,1.1113675078310377,-2.752398823549958,0.0493194090797086,1.761056818965525,4.413729242467542,/mnt/external/scenarios/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_over_dFees_summary.csv
3,volatility_cex,Volatility (CEX),jiter,Jiter,305819,-0.2081107679685372,1.6385330011007997,-0.0493485901456738,-3.494579809751416,-1.2393409025658833,0.9119500783175032,2.5566623736476046,/mnt/external/scenarios/model2_vol_cex/lvr_vs_blocksize/volatility_cex_flow_model2_vol_cex_runs50_B2to16_seed10_step1_2/dLVR_over_dFees_summary.csv
3,volatility_dex,Volatility (DEX),active,Active LPs,4296983,2.132961985261516,651.8783049413141,1.1981930395620557,-3.841517268031746,-0.0677293250079751,2.324617472230609,7.890496126065411,/mnt/external/scenarios/model2_vol_dex/lvr_vs_blocksize/volatility_dex_flow_model2_vol_dex_runs50_B2to16_seed10_step1_2/dLVR_over_dFees_summary.csv
3,volatility_dex,Volatility (DEX),passive,Passive LPs,4305665,1.2343036615269751,3.154308517854799,1.1671764688056645,-3.8797111472287216,-0.0783805451191151,2.251868603496256,7.494893897794981,/mnt/external/scenarios/model2_vol_dex/lvr_vs_blocksize/volatility_dex_flow_model2_vol_dex_runs50_B2to16_seed10_step1_2/dLVR_over_dFees_summary.csv
3,volatility_dex,Volatility (DEX),jiter,Jiter,294150,-0.2871356552351657,1.687093528271352,-0.1627643875922543,-3.79794270718783,-1.1800409020822893,0.8137034595180082,2.463888493080989,/mnt/external/scenarios/model2_vol_dex/lvr_vs_blocksize/volatility_dex_flow_model2_vol_dex_runs50_B2to16_seed10_step1_2/dLVR_over_dFees_summary.csv
4,static,Static,active,Active LPs,21803216,12.800608524970954,16749.098116697693,2.0578036453700888,-13.569016605912491,-1.1030735512761027,5.521533313571945,19.784970180797902,/mnt/external/scenarios/model2_static/lvr_vs_blocksize/static_flow_model2_static_runs50_B2to16_seed10_step1_6/dLVR_over_dFees_summary.csv
4,static,Static,passive,Passive LPs,21818430,2.147391782921009,10.369305436604948,1.9940424248736228,-15.616265042447235,-1.1627701085179134,5.403939773554385,20.620397776764992,/mnt/external/scenarios/model2_static/lvr_vs_blocksize/static_flow_model2_static_runs50_B2to16_seed10_step1_6/dLVR_over_dFees_summary.csv
4,static,Static,jiter,Jiter,1575,-9.61745703856795,8.378000474758773,-7.705929493576064,-32.16544484668582,-11.876876987876862,-4.58018627299385,-0.3710932739831986,/mnt/external/scenarios/model2_static/lvr_vs_blocksize/static_flow_model2_static_runs50_B2to16_seed10_step1_6/dLVR_over_dFees_summary.csv
4,toxicity,Toxicity,active,Active LPs,4570783,2246.278645526918,4778698.236486396,0.9312126274299152,-2.0363816694610386,0.0448517538128599,1.2762145358679122,2.8863548480427497,/mnt/external/scenarios/model2_tox/lvr_vs_blocksize/toxicity_flow_model2_tox_runs50_B2to16_seed10_step1_2/dLVR_over_dFees_summary.csv
4,toxicity,Toxicity,passive,Passive LPs,4580700,0.6126184043669765,1.457851263876074,0.913830398618549,-2.0519351299837174,0.0339025252566065,1.2502646867546534,2.6512984888047613,/mnt/external/scenarios/model2_tox/lvr_vs_blocksize/toxicity_flow_model2_tox_runs50_B2to16_seed10_step1_2/dLVR_over_dFees_summary.csv
