cohort,block_time,n,mean,std,median,p2_5,p25,p75,p97_5
active,9,499950,0.11974372214428987,0.5526391384307223,0.012060096583610402,-0.28042659296282113,-0.003605363712354128,0.1072190867112771,1.1570980318406896
passive,9,499950,0.004022210600577707,0.08774131824632592,0.00041649176079044974,-0.019979509057815127,-0.0001548450536835729,0.003949740122279043,0.05330235203959432
jiter,9,30,-0.31463265456849143,0.48766178817026185,-0.11413260272384113,-1.652313488794964,-0.3560454500008633,-0.026580280001006186,-0.002802134366953218
active,10,499950,0.13030668582825553,0.6013011136118287,0.014315384349060361,-0.31396850022396966,-0.004888714132666186,0.12156005617904142,1.2635643049436276
passive,10,499950,0.004452382681874164,0.09659452680479172,0.0004866835441510453,-0.024214187956525093,-0.0002133833791677063,0.004539034913823537,0.05982599099917354
jiter,10,40,-0.13493406271395156,0.2868156567330685,-0.046008089212448804,-0.5434076367888586,-0.15050371000060853,-0.011379121737712068,-0.001186659215403926
active,11,499950,0.13878066315613355,0.6332560275952581,0.016466572289696398,-0.35120935581018176,-0.0065528831715001915,0.13506221890800443,1.3456776437801923
passive,11,499950,0.004774645398179958,0.09828751196607904,0.0005363478079840507,-0.027776403278681965,-0.0002860750457933872,0.005000623661947978,0.0657048514694342
jiter,11,34,-0.11878447683360352,0.1488727774182857,-0.063048478301185,-0.4549707419636641,-0.13627918798629626,-0.02523384478691438,-0.001676383705121758
active,12,499950,0.14747962908574397,0.648553122617637,0.018730656633338318,-0.38799530558869433,-0.008121060690030883,0.1491043727567722,1.4432535584684139
passive,12,499950,0.005319241516065078,0.1085252622112275,0.0006295941501015864,-0.033019303271713714,-0.00037277017881690066,0.0057250055626380265,0.07532253532554235
jiter,12,48,-0.16124048656313875,0.24698153340674192,-0.05872666230488534,-0.9352027620197281,-0.17838007947976603,-0.01039129540790946,0.0006476681534790679
active,13,499950,0.15599659085873988,0.6945101348748574,0.020906615725292337,-0.42412009655443683,-0.009857852207813603,0.16200934011230006,1.5169871807612656
passive,13,499950,0.005578743865766517,0.10847662662803763,0.0006805020254275784,-0.03812487869025719,-0.0004440193018186794,0.006178096328657474,0.08193270636183776
jiter,13,51,-0.2442446839580783,0.5795198596921228,-0.06910076174989803,-0.8433710423793455,-0.23100536445890127,-0.036231278467671574,-0.002105993996259395
active,14,499950,0.16239548103519458,0.712389487986395,0.022808766878076273,-0.4623042959629619,-0.011746237297757927,0.1760112315961359,1.5993443007008117
passive,14,499950,0.005956272912713765,0.1088358806940594,0.0007441951228238872,-0.04371825275974597,-0.0005392420182363922,0.006794346115558155,0.08963718379664884
jiter,14,55,-0.2580434177831005,0.484414826773999,-0.044559724548970545,-1.690079158168323,-0.16848869079186035,-0.010555667380095701,-0.0024369502142460543
active,15,499950,0.16791816707154025,0.7312599171227623,0.02515951535774808,-0.4947447818528579,-0.013783071262609173,0.18772772329641932,1.6527565475613426
passive,15,499950,0.006482627086378184,0.11975779449725235,0.000844091205321207,-0.04943587955927452,-0.0006592686696847488,0.007528973325014456,0.0980931499389462
jiter,15,62,-0.21418172153135584,0.3140044702849235,-0.06485595469425612,-1.0800092000376993,-0.31234356864551227,-0.009783518667678133,0.00020428696478579133
active,16,499950,0.17707166246594022,0.7629015632302715,0.027032825950980405,-0.5340808218794233,-0.015969524672356912,0.2007537532558477,1.751507308872211
passive,16,499950,0.007037687929925059,0.12133810505802403,0.000909377207113809,-0.05752237904081738,-0.0007983104247430782,0.00827643818037373,0.10994101233598536
jiter,16,59,-0.22570126681015704,0.2707662178905906,-0.14055586963883124,-1.0349185326912218,-0.27898890594133197,-0.04356876222183938,-0.0033316587368554603
