cohort,block_time,n,mean,std,median,p2_5,p25,p75,p97_5
active,8,435741,6147275.808134989,4057852925.2417107,0.7449318712499194,-3.0241918194433604,-0.20826315747651433,1.927930249367466,6.290797035005513
passive,8,436692,0.9090126704336605,5.681905566907495,0.7107041197486408,-3.1415199175043136,-0.22814133188299757,1.8514168852300192,6.013024437397959
jiter,8,95007,-0.01220020044170353,1.7122943647751825,0.047422125806934674,-3.337510776900432,-0.9671647116486182,0.9738922640933659,3.0746736014167277
active,9,446089,5.0398318617665,2004.0587288429947,0.7014271500409257,-2.933802311804184,-0.20829198534319335,1.8846188328256466,6.117984010552637
passive,9,446989,0.8934526617007286,5.515311628340098,0.6692616313799425,-3.067521241856233,-0.22857188507834408,1.8069013522701316,5.895957090852115
jiter,9,110910,0.012786732070534582,1.6952971138978927,0.08092095294349996,-3.3199135735457763,-0.9520282388486658,0.9920007705492145,3.148666322560838
active,10,454711,2.3209890795042782,539.4523861639376,0.6490761262869951,-2.8506113086920606,-0.21060293066596292,1.832731837279058,6.032229282124368
passive,10,455672,0.9009946834236155,13.140757524040204,0.6166387318607278,-3.0205906804180467,-0.2321289351389507,1.7593303468005108,5.87965985772777
jiter,10,126750,0.024738758332695863,1.6992872949646554,0.08074076224622831,-3.327715312043734,-0.9392957914581888,0.9972960442065266,3.219640718119997
active,11,461492,1.181269073456202,84.92740903139016,0.6237058685389982,-2.7956417674046454,-0.2050202364012066,1.7909828470805045,5.858575870188131
passive,11,462325,0.8853250768670358,16.267452328104156,0.5932794892547893,-2.9897535503650596,-0.2281188653488379,1.7267389826616577,5.763012028291865
jiter,11,142201,0.03550278881201206,1.721785707569405,0.09857945658073039,-3.371955666783238,-0.9360799420748841,1.0085400389175236,3.243771594822383
active,12,467253,8183568.772629754,5593943944.092721,0.5882870542182678,-2.7203598340933657,-0.20578363726180968,1.7485975702338326,5.788927054981733
passive,12,468059,0.8835070491378993,18.73145029965841,0.5585670078073888,-2.9256752640744583,-0.2303087647191149,1.689795240281427,5.746803604349281
jiter,12,158978,0.05418137357101708,1.703324910295697,0.11006323096516084,-3.3191510188502953,-0.9119015652369944,1.0175950739789719,3.2547233375619093
active,13,471885,1.840103737588676,2017.9608197195544,0.5591696760647084,-2.6522313456046116,-0.20246979193887293,1.7095729378632543,5.721848091514006
passive,13,472728,0.8448257659677694,9.949518621677461,0.5307029751382736,-2.8656108191690506,-0.22790782239907792,1.6544486799372935,5.737579336225103
jiter,13,173656,0.0583857874916033,1.702262269402126,0.1166013356705429,-3.335646345803843,-0.9058690626322892,1.0222258023411888,3.276655105114352
active,14,476588,1.8992282096162862,484.60045225567137,0.5337260839340021,-2.577857231280511,-0.19645407712113513,1.6818991206250078,5.611557995918508
passive,14,477409,0.9609823497122182,69.83559745235937,0.5064788736720068,-2.8061103068542104,-0.2216833768407409,1.631866728082864,5.6766207862281135
jiter,14,189826,0.07356422537372775,1.701645212669039,0.12260654134496139,-3.268090318618595,-0.895588949478381,1.034574729299975,3.2819084019134266
active,15,479726,1.1695893545628087,134.0015759047987,0.5141307036956762,-2.5106095807943687,-0.19249072459539746,1.6457504863896788,5.550711443288287
passive,15,480528,0.9155519578449424,41.79947801865853,0.49196636073785477,-2.780679002894749,-0.2180640729594418,1.6017880874506392,5.65435810409386
jiter,15,201506,0.08095583274654274,1.7071835302935578,0.12014095382489817,-3.2847880584764084,-0.8871640800848234,1.038933285273124,3.3305846193237585
active,16,482662,5.13158195802241,1720.0333140406665,0.49738457379678197,-2.459559174492002,-0.18261831930291533,1.6188414874026957,5.468532897531179
passive,16,483303,0.855738809408265,11.020086672943679,0.4731056892295588,-2.7332463562094484,-0.20842375389352374,1.5789879999207042,5.664475594049491
jiter,16,217090,0.08669756890176382,1.6971995147006789,0.1265090405678503,-3.2869816157666745,-0.8781407057924613,1.0396283450400758,3.3469378808703345
