cohort,block_time,n,mean,std,median,p2_5,p25,p75,p97_5
jiter,8,95007,-0.006523515256018467,0.17485285277946291,0.0001424966732557209,-0.27969577359810943,-0.015101967782268133,0.01440361918637956,0.21855480592682372
active,9,499950,0.1290512415293725,0.5360582564719433,0.005863322080870332,-0.13339358194447637,-0.0008019273106327773,0.08718992848391863,1.1755283923838604
passive,9,499950,0.003878100949354539,0.05567935011555431,0.00018396835578800524,-0.006212497993058739,-2.772686451089746e-05,0.003066230662939594,0.04092660778944246
jiter,9,110910,-0.004952389758374942,0.18073519040234415,0.0002867045549800894,-0.28146957989830945,-0.015768303774476043,0.01609274500149386,0.2314502320235227
active,10,499950,0.141095599410481,0.5725713032986651,0.0070390394199740395,-0.14590120221021646,-0.001218971678745212,0.09808734412402056,1.2803917894449595
passive,10,499950,0.0042823669901879795,0.05272092984171002,0.00021807071092490678,-0.0069697850543045,-4.154803140044187e-05,0.0034193531387190054,0.04608342609317239
jiter,10,126750,-0.004170406563716157,0.18239625777282062,0.00032054342230863637,-0.29895821261276584,-0.016618235159531647,0.017978091608669075,0.25328775875373055
active,11,499950,0.15252824263210438,0.6029544391228386,0.008579640946010159,-0.16412237646241506,-0.0016495542985900447,0.10998762906109527,1.3870950496257453
passive,11,499950,0.004534689385611141,0.05895852415975006,0.0002546394622775032,-0.007852139401516916,-5.374288649107003e-05,0.0037415293712860656,0.04873286864150978
jiter,11,142201,-0.0043861437507902844,0.19562947588140123,0.00042831000671863644,-0.3137655270247848,-0.017875747302855606,0.019871655392996956,0.26967444676009933
active,12,499950,0.1647335005016888,0.6424102463356768,0.009739093588062889,-0.17863553119231745,-0.002110969620006898,0.12128105541781456,1.49256394000259
passive,12,499950,0.005005474529510205,0.056926257465456286,0.0002937107520373752,-0.008859142909368295,-7.1414083223971e-05,0.004128511774454029,0.054031949704404766
jiter,12,158978,-0.0045881786765242395,0.19971041259356268,0.0005499441798435874,-0.33476807310180845,-0.018406972582181262,0.02154854416535117,0.28326276132439127
active,13,499950,0.17555950424381953,0.6742088217111579,0.011078007381581038,-0.19294736903808843,-0.0025919177406489736,0.1314981958263845,1.6114292412508353
passive,13,499950,0.0053239819903818965,0.05987044440059541,0.00032083830476190435,-0.009382246683839827,-8.47222091381254e-05,0.004359509786918811,0.05833011736423415
jiter,13,173656,-0.0034762734812276187,0.21036004420594925,0.0006240056849719502,-0.3478510113423007,-0.019683340972424253,0.023422573129801012,0.3005671575589568
active,14,499950,0.18644396488665013,0.7128913751563992,0.012638798826506353,-0.2059159324210805,-0.003105965780462576,0.1437921831947055,1.693378727529241
passive,14,499950,0.005632247285502534,0.06753326828588382,0.0003682094204779937,-0.010662548753909318,-0.0001037186392818752,0.004782237683897536,0.061961004003603395
jiter,14,189826,-0.0019396647452002253,0.21562569492415326,0.0007338533907063985,-0.35793636937156625,-0.02057083421137129,0.025298597641093226,0.3227973605470583
active,15,499950,0.200426160106043,0.7503591712413973,0.014052645422797862,-0.22299670220129733,-0.0035829925919686036,0.1549636463223501,1.812266339107935
passive,15,499950,0.006122992652707997,0.06967789433396673,0.00040279444922460667,-0.011637619215388952,-0.00011909470162637989,0.0051693443042752155,0.06803829672982065
jiter,15,201506,-0.000597259980945082,0.22615374399718038,0.000789885840319286,-0.3773958004987268,-0.02170932408078646,0.027556491557273653,0.35156527798937137
active,16,499950,0.210388071151186,0.7748643727032104,0.015679491310275597,-0.2365634009751814,-0.003981458476386791,0.1667646216044688,1.8834818241458353
passive,16,499950,0.00642551914452758,0.06626607084667777,0.00044714358034476714,-0.012660475243433595,-0.00013399225938040576,0.0055449480405019205,0.07153507790635444
jiter,16,217090,-0.0003461025294212049,0.23596272583900177,0.000925686241627761,-0.3810120020994922,-0.02282394106954705,0.029353900600697508,0.3552551277880824
